agent_type,episode_timestamp,step,previous_phase,duration,action_taken
dqn,2025-10-16T18:05:45.334531,1655,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1660,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1665,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1670,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1675,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1680,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1685,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1690,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1695,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1700,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1705,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1710,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1715,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1720,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1725,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1730,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1735,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1740,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1745,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1750,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1755,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1760,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1765,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1770,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1775,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1780,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1785,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1790,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1795,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1800,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1805,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1810,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1815,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1820,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1825,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1830,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1835,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1840,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1845,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1850,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1855,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1860,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1865,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1870,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1875,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1880,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1885,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1890,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1895,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1900,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1905,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1910,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1915,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1920,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1925,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1930,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1935,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1940,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1945,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1950,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1955,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1960,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1965,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1970,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1975,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1980,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1985,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1990,0.5,5,SWITCH
dqn,2025-10-16T18:05:45.334531,1995,0.0,5,SWITCH
dqn,2025-10-16T18:05:45.334531,2000,0.5,5,SWITCH
